Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Commensurate stacking within confined ultramicropores boosting acetylene storage capacity and separation efficiency","Nano Research","","16","5","10.1007/s12274-022-5346-7","Zhenghui HuangKungang ChaiChengjun KangRajamani KrishnaZhaoqiang Zhang","2023","http://link.springer.com/article/10.1007/s12274-022-5346-7","Article"
"High-performance flexible all-solid-state asymmetric supercapacitors based on binder-free MXene/cellulose nanofiber anode and carbon cloth/polyaniline cathode","Nano Research","","16","5","10.1007/s12274-023-5586-1","Xiaoyu BiMeichun LiGuoqiang ZhouChaozheng LiuRunzhou HuangYang ShiBen Bin XuZhanhu GuoWei FanHassan AlgadiShengbo Ge","2023","http://link.springer.com/article/10.1007/s12274-023-5586-1","Article"
"Yb- and Er concentration dependence of the upconversion luminescence of highly doped NaYF4:Yb,Er/NaYF4:Lu core/shell nanocrystals prepared by a water-free synthesis","Nano Research","","15","10","10.1007/s12274-022-4570-5","Christian WürthBettina GrauelMonika PonsFlorian FrenzelPhilipp RissiekKerstin RückerMarkus HaaseUte Resch-Genger","2022","http://link.springer.com/article/10.1007/s12274-022-4570-5","Article"
"High current limits in chemical vapor deposited graphene spintronic devices","Nano Research","","16","4","10.1007/s12274-022-5174-9","Daria BelotcerkovtcevaJ. PandaM. RamuTapati SarkarUlrich NoumbeM. Venkata Kamalakar","2023","http://link.springer.com/article/10.1007/s12274-022-5174-9","Article"
"Localised solid-state nanopore fabrication via controlled breakdown using on-chip electrodes","Nano Research","","15","11","10.1007/s12274-022-4535-8","Jasper P. FriedJacob L. SwettBinoy Paulose NadappuramAleksandra FedosyukAlex GeeOndrej E. DyckJames R. YatesAleksandar P. IvanovJoshua B. EdelJan A. Mol","2022","http://link.springer.com/article/10.1007/s12274-022-4535-8","Article"
"A topology framework for macromolecular complexes and condensates","Nano Research","","15","11","10.1007/s12274-022-4355-x","Maziar HeidariDuane MoesOtto SchullianBarbara ScalviniAlireza Mashaghi","2022","http://link.springer.com/article/10.1007/s12274-022-4355-x","Article"
"Different micro/nano-scale patterns of surface materials influence osteoclastogenesis and actin structure","Nano Research","","15","5","10.1007/s12274-021-4026-3","Tsukasa AkasakaMiho TamaiYoshitaka YoshimuraNatsumi UshijimaShinichiro NumamotoAtsuro YokoyamaHirofumi MiyajiRyo TakataShuichi YamagataYoshiaki SatoKo NakanishiYasuhiro Yoshida","2022","http://link.springer.com/article/10.1007/s12274-021-4026-3","Article"
"High-yield fabrication of perpendicularly magnetised synthetic antiferromagnetic nanodiscs","Nano Research","","14","11","10.1007/s12274-021-3307-1","Emma N. WelbourneTarun VemulkarRussell P. Cowburn","2021","http://link.springer.com/article/10.1007/s12274-021-3307-1","Article"
"Diffusion dynamics and characterization of attogram masses in optically trapped single nanoparticles using laser-induced plasma imaging","Nano Research","","16","5","10.1007/s12274-022-5355-3","Pablo PurohitFrancisco J. FortesJavier Laserna","2023","http://link.springer.com/article/10.1007/s12274-022-5355-3","Article"
"CD44 and CD221 directed magnetic cubosomes for the targeted delivery of helenalin to rhabdomyosarcoma cells","Nano Research","","16","2","10.1007/s12274-022-5037-4","Hakmin MunYuriy ChabanTanveer A. TabishNanasaheb ThoratNathan CowiesonC. David OwenHelen E. Townley","2023","http://link.springer.com/article/10.1007/s12274-022-5037-4","Article"
"Characterization and modeling of the temperature-dependent thermal conductivity in sintered porous silicon-aluminum nanomaterials","Nano Research","","15","6","10.1007/s12274-022-4123-y","Danny KojdaTommy HofmannNatalia Gostkowska-LeknerKlaus Habicht","2022","http://link.springer.com/article/10.1007/s12274-022-4123-y","Article"
"Al-driven peculiarities of local coordination and magnetic properties in single-phase Alx-CrFeCoNi high-entropy alloys","Nano Research","","15","6","10.1007/s12274-021-3704-5","Alevtina SmekhovaAlexei KuzminKonrad SiemensmeyerChen LuoKai ChenFlorin RaduEugen WeschkeUwe ReinholzAna Guilherme BuzanichKirill V. Yusenko","2022","http://link.springer.com/article/10.1007/s12274-021-3704-5","Article"
"Single-molecule DNA sequencing using two-dimensional Ti2C(OH)2 MXene nanopores: A first-principles investigation","Nano Research","","15","11","10.1007/s12274-022-4632-8","Jariyanee PrasongkitSirichok JungthawanRodrigo G. AmorimRalph H. Scheicher","2022","http://link.springer.com/article/10.1007/s12274-022-4632-8","Article"
"Cobalt-iron oxide/black phosphorus nanosheet heterostructure: Electrosynthesis and performance of (photo-)electrocatalytic oxygen evolution","Nano Research","","16","5","10.1007/s12274-022-4676-9","Man ZhaoXiaoru ChengHe XiaoJianru GaoShoufeng XueXiaoxia WangHaishun WuJianfeng JiaNianjun Yang","2023","http://link.springer.com/article/10.1007/s12274-022-4676-9","Article"
"Structure and principles of self-assembly of giant “sea urchin” type sulfonatophenyl porphine aggregates","Nano Research","","15","6","10.1007/s12274-021-4048-x","Marijus PleckaitisFayez HabachLukas KontenisGábor SteinbachGreta JarockyteAgne KalnaityteIldikó DomonkosParveen AkhtarMehdi AlizadehSaulius BagdonasVitalijus KarabanovasGyőző GarabRicardas RotomskisVirginijus Barzda","2022","http://link.springer.com/article/10.1007/s12274-021-4048-x","Article"
"There is life after coking for Ir nanocatalyst superlattices","Nano Research","","15","8","10.1007/s12274-022-4300-z","Antonio J. Martínez-GaleraHaojie GuoMariano D. Jiménez-SánchezStefano FranchiKevin C. PrinceJosé M. Gómez-Rodríguez","2022","http://link.springer.com/article/10.1007/s12274-022-4300-z","Article"
"Phase constitution of the noble metal thin-film complex solid solution system Ag-Ir-Pd-Pt-Ru in dependence of elemental compositions and annealing temperatures","Nano Research","","15","6","10.1007/s12274-021-3516-7","Bin XiaoXiao WangAlan SavanAlfred Ludwig","2022","http://link.springer.com/article/10.1007/s12274-021-3516-7","Article"
"Turning carbon dots into selenium bearing nanoplatforms with in vitro GPx-like activity and pro-oxidant activity","Nano Research","","16","5","10.1007/s12274-023-5442-3","Laura Perez-GarridoMariano Ortega-MuñozFernando Hernandez-MateoF. Javier Lopez-JaramilloFrancisco Santoyo-Gonzalez","2023","http://link.springer.com/article/10.1007/s12274-023-5442-3","Article"
"3D X-ray microscopy with a CsPbBr3 nanowire scintillator","Nano Research","","16","1","10.1007/s12274-022-4633-7","Hanna DierksZhaojun ZhangNils LamersJesper Wallentin","2023","http://link.springer.com/article/10.1007/s12274-022-4633-7","Article"
"Growth, coalescence, and etching of two-dimensional overlayers on metals modulated by near-surface Ar nanobubbles","Nano Research","","15","3","10.1007/s12274-021-3731-2","Wei WeiJiaqi PanHaiping LinChanan EuaruksakulZhiyun LiRong HuangLi WangZhujun WangQiang FuYi Cui","2022","http://link.springer.com/article/10.1007/s12274-021-3731-2","Article"
"Ternary Pt/Re/SnO2/C catalyst for EOR: Electrocatalytic activity and durability enhancement","Nano Research","","13","3","10.1007/s12274-020-2704-1","Elżbieta DrzymałaGrzegorz GruzełJoanna DepciuchMiroslawa PawlytaMikołaj DontenMagdalena Parlinska-Wojtan","2020","http://link.springer.com/article/10.1007/s12274-020-2704-1","Article"
"Principles of carbon nanotube dielectrophoresis","Nano Research","","14","7","10.1007/s12274-020-3183-0","Wenshan LiFrank HennrichBenjamin S. FlavelSimone DehmManfred KappesRalph Krupke","2021","http://link.springer.com/article/10.1007/s12274-020-3183-0","Article"
"Continuous dimethyl carbonate synthesis from CO2 and methanol over BixCe1−xOδ monoliths: Effect of bismuth doping on population of oxygen vacancies, activity, and reaction pathway","Nano Research","","15","2","10.1007/s12274-021-3669-4","Yongdong ChenYue LiWei ChenWen Wu XuZhong-kang HanAmmara WaheedZhongbin YeGao LiAlfons Baiker","2022","http://link.springer.com/article/10.1007/s12274-021-3669-4","Article"
"Assessment of oxide nanoparticle stability in liquid phase transmission electron microscopy","Nano Research","","12","9","10.1007/s12274-019-2419-3","Mark J. MeijerinkKrijn P. de JongJovana Zečević","2019","http://link.springer.com/article/10.1007/s12274-019-2419-3","Article"
"Mechanosynthesis of polymer-stabilized lead bromide perovskites: insight into the formation and phase conversion of nanoparticles","Nano Research","","14","4","10.1007/s12274-020-3152-7","Guocan JiangOnur ErdemRené HübnerMaximilian GeorgiWei WeiXuelin FanJin WangHilmi Volkan DemirNikolai Gaponik","2021","http://link.springer.com/article/10.1007/s12274-020-3152-7","Article"
"Photodynamic therapy-triggered on-demand drug release from ROS-responsive core-cross-linked micelles toward synergistic anti-cancer treatment","Nano Research","","12","5","10.1007/s12274-019-2330-y","Yongjuan LiJian HuXun LiuYong LiuShixian LvJuanjuan DangYong JiJinlin HeLichen Yin","2019","http://link.springer.com/article/10.1007/s12274-019-2330-y","Article"
"Can DyeCycling break the photobleaching limit in single-molecule FRET?","Nano Research","","15","11","10.1007/s12274-022-4420-5","Benjamin VermeerSonja Schmid","2022","http://link.springer.com/article/10.1007/s12274-022-4420-5","Article"
"Local structure and magnetic properties of a nanocrystalline Mn-rich Cantor alloy thin film down to the atomic scale","Nano Research","","16","4","10.1007/s12274-022-5135-3","Alevtina SmekhovaAlexei KuzminKonrad SiemensmeyerChen LuoJames TaylorSangeeta ThakurFlorin RaduEugen WeschkeAna Guilherme BuzanichBin XiaoAlan SavanKirill V. YusenkoAlfred Ludwig","2023","http://link.springer.com/article/10.1007/s12274-022-5135-3","Article"
"Rationally designed synthesis of bright AgInS2/ZnS quantum dots with emission control","Nano Research","","13","9","10.1007/s12274-020-2876-8","José X. SoaresK. David WegnerDavid S. M. RibeiroArmindo MeloInes HäuslerJoão L. M. SantosUte Resch-Genger","2020","http://link.springer.com/article/10.1007/s12274-020-2876-8","Article"
"Cyclodextrin conjugated ferritin nanocages reduce intracellular cholesterol level in foam cells","Nano Research","","12","12","10.1007/s12274-019-2525-2","Samyukta RavishankarSierin Lim","2019","http://link.springer.com/article/10.1007/s12274-019-2525-2","Article"
"Versatile multiplexed super-resolution imaging of nanostructures by Quencher-Exchange-PAINT","Nano Research","","11","12","10.1007/s12274-018-1971-6","Tobias LutzAlexander H. ClowsleyRuisheng LinStefano PagliaraLorenzo Di MicheleChristian Soeller","2018","http://link.springer.com/article/10.1007/s12274-018-1971-6","Article"
"Angular dependence of nanoparticle generation in the matrix assembly cluster source","Nano Research","","12","12","10.1007/s12274-019-2553-y","Maria Chiara SpadaroJunlei ZhaoWilliam D. TerryJian LiuFeng YinFlyura DjurabekovaRichard E. Palmer","2019","http://link.springer.com/article/10.1007/s12274-019-2553-y","Article"
"Substrate mediated dissolution of redox active nanoparticles; electron transfer over long distances","Nano Research","","15","1","10.1007/s12274-021-3497-6","Ruo-Chen XieChristopher Batchelor-McAuleyMinjun YangRichard G. Compton","2022","http://link.springer.com/article/10.1007/s12274-021-3497-6","Article"
"Graphene quantum dots: From efficient preparation to safe renal excretion","Nano Research","","14","3","10.1007/s12274-020-3096-y","Caroline HadadJosé Miguel González-DomínguezSilvia ArmelloniDeborah MattinzoliMasami IkehataAkcan IstifAdrian OstricFrancesco CellesiCarlo Maria AlfieriPiergiorgio MessaBelén BallesterosTatiana Da Ros","2021","http://link.springer.com/article/10.1007/s12274-020-3096-y","Article"
"LiYF4:Yb/LiYF4 and LiYF4:Yb,Er/LiYF4 core/shell nanocrystals with luminescence decay times similar to YLF laser crystals and the upconversion quantum yield of the Yb,Er doped nanocrystals","Nano Research","","14","3","10.1007/s12274-020-3116-y","Frederike CarlLeonie BirkBettina GrauelMonica PonsChristian WürthUte Resch-GengerMarkus Haase","2021","http://link.springer.com/article/10.1007/s12274-020-3116-y","Article"
"Emerging Internet of Things driven carbon nanotubes-based devices","Nano Research","","15","5","10.1007/s12274-021-3986-7","Shu ZhangJinbo PangYufen LiFeng YangThomas GemmingKai WangXiao WangSongang PengXiaoyan LiuBin ChangHong LiuWeijia ZhouGianaurelio CunibertiMark H. Rümmeli","2022","http://link.springer.com/article/10.1007/s12274-021-3986-7","Article"
"Multidimensional thermally-induced transformation of nest-structured complex Au-Fe nanoalloys towards equilibrium","Nano Research","","15","1","10.1007/s12274-021-3524-7","Jacob JohnyOleg PrymakMarius KampFlorent CalvoSe-Ho KimAnna TymoczkoAyman El-ZokaChristoph RehbockUlrich SchürmannBaptiste GaultLorenz KienleStephan Barcikowski","2022","http://link.springer.com/article/10.1007/s12274-021-3524-7","Article"
"In situ observation of synthesized nanoparticles in ultra-dilute aerosols via X-ray scattering","Nano Research","","12","1","10.1007/s12274-018-2170-1","Sarah R. McKibbinSofie YngmanOlivier BalmesBengt O. MeullerSimon TågerudMaria E. MessingGiuseppe PortaleMichael SztuckiKnut DeppertLars SamuelsonMartin H. MagnussonEdvin LundgrenAnders Mikkelsen","2019","http://link.springer.com/article/10.1007/s12274-018-2170-1","Article"
"Graphene transfer methods: A review","Nano Research","","14","11","10.1007/s12274-021-3345-8","Sami UllahXiaoqin YangHuy Q. TaMaria HasanAlicja BachmatiukKlaudia TokarskaBarbara TrzebickaLei FuMark H. Rummeli","2021","http://link.springer.com/article/10.1007/s12274-021-3345-8","Article"
"Illumining phase transformation dynamics of vanadium oxide cathode by multimodal techniques under operando conditions","Nano Research","","12","4","10.1007/s12274-019-2321-z","Guobin ZhangTengfei XiongXuelei PanYunlong ZhaoMengyu YanHaining ZhangBuke WuKangning ZhaoLiqiang Mai","2019","http://link.springer.com/article/10.1007/s12274-019-2321-z","Article"
"Volume and surface effects on two-photonic and three-photonic processes in dry co-doped upconversion nanocrystals","Nano Research","","15","3","10.1007/s12274-021-3727-y","Bettina GrauelChristian WürthChristian HomannLisa KrukewittElina AndresenJanina RoikSebastian RecknagelMarkus HaaseUte Resch-Genger","2022","http://link.springer.com/article/10.1007/s12274-021-3727-y","Article"
"Self-assembly of highly ordered DNA origami lattices at solid-liquid interfaces by controlling cation binding and exchange","Nano Research","","13","11","10.1007/s12274-020-2985-4","Yang XinSalvador Martinez RivadeneiraGuido GrundmeierMario CastroAdrian Keller","2020","http://link.springer.com/article/10.1007/s12274-020-2985-4","Article"
"MoS2/C/C nanofiber with double-layer carbon coating for high cycling stability and rate capability in lithium-ion batteries","Nano Research","","11","11","10.1007/s12274-018-2096-7","Hao WuChengyi HouGuozhen ShenTao LiuYuanlong ShaoRu XiaoHongzhi Wang","2018","http://link.springer.com/article/10.1007/s12274-018-2096-7","Article"
"Lightweight porous silica foams with extreme-low dielectric permittivity and loss for future 6G wireless communication technologies","Nano Research","","14","5","10.1007/s12274-020-3201-2","Petra S. PálvölgyiDaniel SebőkImre SzentiEva BozoHenri ErvastiOlli PitkänenJari HannuHeli JantunenMarko E. LeinonenSami MyllymäkiAkos KukoveczKrisztian Kordas","2021","http://link.springer.com/article/10.1007/s12274-020-3201-2","Article"
"Colorless-to-colorful switching of electrochromic MXene by reversible ion insertion","Nano Research","","15","4","10.1007/s12274-021-3913-y","Jianxia JiangLeiqiang QinJoseph HalimPer O. Å. PerssonLintao HouJohanna Rosen","2022","http://link.springer.com/article/10.1007/s12274-021-3913-y","Article"
"Copper-hydride nanoclusters with enhanced stability by N-heterocyclic carbenes","Nano Research","","14","9","10.1007/s12274-021-3389-9","Hui ShenLingzheng WangOmar López-EstradaChengyi HuQingyuan WuDongxu CaoSami MalolaBoon K. TeoHannu HäkkinenNanfeng Zheng","2021","http://link.springer.com/article/10.1007/s12274-021-3389-9","Article"
"Edge-enriched MoS2 for kinetics-enhanced potassium storage","Nano Research","","13","10","10.1007/s12274-020-2925-3","Guangshen JiangXiaosa XuHaojie HanChangzhen QuHlib RepichFei XuHongqiang Wang","2020","http://link.springer.com/article/10.1007/s12274-020-2925-3","Article"
"Nanostructured Ni-MoCx: An efficient non-noble metal catalyst for the chemoselective hydrogenation of nitroaromatics","Nano Research","","","","10.1007/s12274-023-5598-x","Yifei ZhangZhiwen LiJingjing ZhangLiangliang XuZhong-Kang HanAlfons BaikerGao Li","2023","http://link.springer.com/article/10.1007/s12274-023-5598-x","Article"
"Hierarchical assemblies of molecular frameworks—MOF-on-MOF epitaxial heterostructures","Nano Research","","14","2","10.1007/s12274-020-2953-z","Ritesh HaldarChristof Wöll","2021","http://link.springer.com/article/10.1007/s12274-020-2953-z","Article"
"Photocatalytic nitrogen reduction to ammonia: Insights into the role of defect engineering in photocatalysts","Nano Research","","15","4","10.1007/s12274-021-3725-0","Huidong ShenMengmeng YangLeiduan HaoJinrui WangJennifer StrunkZhenyu Sun","2022","http://link.springer.com/article/10.1007/s12274-021-3725-0","Article"
"Exciton recycling via InP quantum dot funnels for luminescent solar concentrators","Nano Research","","14","5","10.1007/s12274-020-3207-9","Houman Bahmani JalaliSadra SadeghiIsinsu BaylamMertcan HanCleva W. Ow-YangAlphan SennarogluSedat Nizamoglu","2021","http://link.springer.com/article/10.1007/s12274-020-3207-9","Article"
"Stratigraphic analysis of intercalated graphite electrodes in aqueous inorganic acid solutions","Nano Research","","15","2","10.1007/s12274-021-3614-6","Stefania De RosaPaolo BranchiniValentina SpampinatoAlexis FranquetRossella YivlialinLamberto DuòGianlorenzo BussettiLuca Tortora","2022","http://link.springer.com/article/10.1007/s12274-021-3614-6","Article"
"Unusual switchable peroxidase-mimicking nanozyme for the determination of proteolytic biomarker","Nano Research","","12","3","10.1007/s12274-018-2241-3","Claire McVeyNatasha LoganNguyen T. K. ThanhChristopher ElliottCuong Cao","2019","http://link.springer.com/article/10.1007/s12274-018-2241-3","Article"
"Tailoring molecular island shapes: influence of microscopic interaction on mesostructure","Nano Research","","13","3","10.1007/s12274-020-2705-0","Simon AeschlimannLu LyuBenjamin StadtmüllerMartin AeschlimannAngelika Kühnle","2020","http://link.springer.com/article/10.1007/s12274-020-2705-0","Article"
"Compressively-strained GaSb nanowires with core-shell heterostructures","Nano Research","","13","9","10.1007/s12274-020-2889-3","Zhongyunshen ZhuJohannes SvenssonAxel R. PerssonReine WallenbergAndrei V. GromovLars-Erik Wernersson","2020","http://link.springer.com/article/10.1007/s12274-020-2889-3","Article"
"Surface reconstruction establishing Mott-Schottky heterojunction and built-in space-charging effect accelerating oxygen evolution reaction","Nano Research","","15","4","10.1007/s12274-021-3917-7","Yao KangShuo WangKwan San HuiShuxing WuDuc Anh DinhXi FanFeng BinFuming ChenJianxin GengWeng-Chon Max CheongKwun Nam Hui","2022","http://link.springer.com/article/10.1007/s12274-021-3917-7","Article"
"Neuromorphic nanocluster networks: Critical role of the substrate in nano-link formation","Nano Research","","","","10.1007/s12274-023-5744-5","Wenkai WuAlexey V. VerkhovtsevTheodoros PavloudisAndrey V. Solov’yovRichard E. Palmer","2023","http://link.springer.com/article/10.1007/s12274-023-5744-5","Article"
"Ultrathin-shell epitaxial Ag@Au core-shell nanowires for high-performance and chemically-stable electronic, optical, and mechanical devices","Nano Research","","14","11","10.1007/s12274-021-3718-z","Yangzhi ZhuSanggon KimXuezhi MaPeter ByrleyNing YuQiushi LiuXiaoming SunDa XuSangshan PengMartin C. HartelShiming ZhangVadim JucaudMehmet R. DokmeciAli KhademhosseiniRuoxue Yan","2021","http://link.springer.com/article/10.1007/s12274-021-3718-z","Article"
"Structure inversion asymmetry enhanced electronic structure and electrical transport in 2D A3SnO (A = Ca, Sr, and Ba) anti-perovskite monolayers","Nano Research","","16","1","10.1007/s12274-022-4637-3","Syed Muhammad Alay-e-AbbasGhulam AbbasWaqas ZulfiqarMuhammad SajjadNirpendra SinghJ. Andreas Larsson","2023","http://link.springer.com/article/10.1007/s12274-022-4637-3","Article"
"Polarization effect in tip-enhanced infrared nanospectroscopy studies of the selective Y5 receptor antagonist Lu AA33810","Nano Research","","11","8","10.1007/s12274-018-2030-z","Natalia PiergiesEwa PiętaCzesława PaluszkiewiczHelena DominWojciech M. Kwiatek","2018","http://link.springer.com/article/10.1007/s12274-018-2030-z","Article"
"Longwave infrared multispectral image sensor system using aluminum-germanium plasmonic filter arrays","Nano Research","","","","10.1007/s12274-023-5669-z","Noor E. Karishma ShaikBryce WiddicombeDechuan SunSam E. JohnDongryeol RyuAmpalavanapillai NirmalathasRanjith R. Unnithan","2023","http://link.springer.com/article/10.1007/s12274-023-5669-z","Article"
"Analysis of structural distortion in Eshelby twisted InP nanowires by scanning precession electron diffraction","Nano Research","","12","4","10.1007/s12274-019-2328-5","Daniel UgarteLuiz H. G. TizeiMonica A. CottaCaterina DucatiPaul A. MidgleyAlexander S. Eggeman","2019","http://link.springer.com/article/10.1007/s12274-019-2328-5","Article"
"The influence of the capping ligands on the optoelectronic performance, morphology, and ion liberation of CsPbBr3 perovskite quantum dots","Nano Research","","","","10.1007/s12274-023-5589-y","Yongfeng LiuShi TangZhaoju GaoXiuwen ShaoXiaolin ZhuJoan Ràfols RibéThomas WågbergLudvig EdmanJia Wang","2023","http://link.springer.com/article/10.1007/s12274-023-5589-y","Article"
"Suspended superconducting weak links from aerosol-synthesized single-walled carbon nanotubes","Nano Research","","13","12","10.1007/s12274-020-3032-1","Jukka-Pekka KaikkonenAbhilash Thanniyil SebastianPatrik LaihoNan WeiMarco WillYongping LiaoEsko I. KauppinenPertti J. Hakonen","2020","http://link.springer.com/article/10.1007/s12274-020-3032-1","Article"
"Operando electrochemical SERS monitors nanoparticle reactions by capping agent fingerprints","Nano Research","","15","5","10.1007/s12274-021-3999-2","Kevin WonnerSteffen MurkeSerena R. AlfaranoPouya HosseiniMartina HavenithKristina Tschulik","2022","http://link.springer.com/article/10.1007/s12274-021-3999-2","Article"
"Multiple radial phosphorus segregations in GaAsP core-shell nanowires","Nano Research","","14","1","10.1007/s12274-020-3060-x","H. Aruni FonsekaYunyan ZhangJames A. GottRichard BeanlandHuiyun LiuAna M. Sanchez","2021","http://link.springer.com/article/10.1007/s12274-020-3060-x","Article"
"Carbon nanotube micropillars trigger guided growth of complex human neural stem cells networks","Nano Research","","12","11","10.1007/s12274-019-2533-2","Gabriela S. LoriteLaura Ylä-OutinenLauriane JanssenOlli PitkänenTiina JokiJanne T. KoivistoMinna KellomäkiRobert VajtaiSusanna NarkilahtiKrisztian Kordas","2019","http://link.springer.com/article/10.1007/s12274-019-2533-2","Article"
"High-performance transparent conducting films of long single-walled carbon nanotubes synthesized from toluene alone","Nano Research","","13","1","10.1007/s12274-019-2581-7","Er-Xiong DingAqeel HussainSaeed AhmadQiang ZhangYongping LiaoHua JiangEsko I. Kauppinen","2020","http://link.springer.com/article/10.1007/s12274-019-2581-7","Article"
"Aromatic self-assembled monolayers with pentafluoro-λ6-sulfanyl (−SF5) termination: Molecular organization and charge transport properties","Nano Research","","16","5","10.1007/s12274-022-5350-8","Yangbiao LiuMarc ZeplichalSonja KatzbachAdrian WiesnerSaunak DasAndreas TerfortMichael Zharnikov","2023","http://link.springer.com/article/10.1007/s12274-022-5350-8","Article"
"Electronic properties of wurtzite GaAs: A correlated structural, optical, and theoretical analysis of the same polytypic GaAs nanowire","Nano Research","","11","9","10.1007/s12274-018-2053-5","Alexander SenichevPierre CorfdirOliver BrandtManfred RamsteinerSteffen BreuerJörg SchillingLutz GeelhaarPeter Werner","2018","http://link.springer.com/article/10.1007/s12274-018-2053-5","Article"
"Selective and self-validating breath-level detection of hydrogen sulfide in humid air by gold nanoparticle-functionalized nanotube arrays","Nano Research","","15","3","10.1007/s12274-021-3771-7","Luis Antonio Panes-RuizLeif RiemenschneiderMohamad Moner Al ChawaMarkus LöfflerBernd RellinghausRonald TetzlaffViktor BezuglyBergoi IbarluceaGianaurelio Cuniberti","2022","http://link.springer.com/article/10.1007/s12274-021-3771-7","Article"
"Moiré patterns arising from bilayer graphone/graphene superlattice","Nano Research","","13","4","10.1007/s12274-020-2744-6","Hu LiRaffaello PapadakisTanveer HussainAmir KartonJiangwei Liu","2020","http://link.springer.com/article/10.1007/s12274-020-2744-6","Article"
"Nano-channel-based physical and chemical synergic regulation for dendrite-free lithium plating","Nano Research","","14","10","10.1007/s12274-021-3643-1","Qiang GuoWei DengShengjie XiaZibo ZhangFei ZhaoBinjie HuSasa ZhangXufeng ZhouGeorge Zheng ChenZhaoping Liu","2021","http://link.springer.com/article/10.1007/s12274-021-3643-1","Article"
"Nested hollow architectures of nitrogen-doped carbon-decorated Fe, Co, Ni-based phosphides for boosting water and urea electrolysis","Nano Research","","15","3","10.1007/s12274-021-3810-4","Jie ZhangShoushuang HuangPing NingPeijun XinZhiwen ChenQing WangKajsa UvdalZhangjun Hu","2022","http://link.springer.com/article/10.1007/s12274-021-3810-4","Article"
"Phase boundary engineering of metal-organic-framework-derived carbonaceous nickel selenides for sodium-ion batteries","Nano Research","","13","8","10.1007/s12274-020-2848-z","Shiyao LuHu WuJingwei HouLimin LiuJiao LiChris J. HarrisCheng-Yen LaoYuzheng GuoKai XiShujiang DingGuoxin GaoAnthony K. CheethamR. Vasant Kumar","2020","http://link.springer.com/article/10.1007/s12274-020-2848-z","Article"
"Transport receptor occupancy in nuclear pore complex mimics","Nano Research","","15","11","10.1007/s12274-022-4647-1","Alessio FragassoHendrik W. de VriesJohn AnderssonEli O. van der SluisErik van der GiessenPatrick R. OnckCees Dekker","2022","http://link.springer.com/article/10.1007/s12274-022-4647-1","Article"
"Amalgamated gold-nanoalloys with enhanced catalytic activity for the detection of mercury ions (Hg2+) in seawater samples","Nano Research","","13","4","10.1007/s12274-020-2731-y","Natasha LoganClaire McVeyChristopher ElliottCuong Cao","2020","http://link.springer.com/article/10.1007/s12274-020-2731-y","Article"
"Synthesis of ultrathin rhenium disulfide nanoribbons using nano test tubes","Nano Research","","15","2","10.1007/s12274-021-3650-2","Luke T. NormanJohannes BiskupekGraham A. RanceCraig T. StoppielloUte KaiserAndrei N. Khlobystov","2022","http://link.springer.com/article/10.1007/s12274-021-3650-2","Article"
"Inverse single-site Fe1(OH)X/Pt(111) model catalyst for preferential oxidation of CO in H2","Nano Research","","15","1","10.1007/s12274-021-3551-4","Chunlei WangHeloise TissotMarkus SoldemoJunling LuJonas Weissenrieder","2022","http://link.springer.com/article/10.1007/s12274-021-3551-4","Article"
"Single entity electrochemistry and the electron transfer kinetics of hydrazine oxidation","Nano Research","","14","11","10.1007/s12274-021-3353-8","Ruiyang MiaoLidong ShaoRichard G. Compton","2021","http://link.springer.com/article/10.1007/s12274-021-3353-8","Article"
"Tunable colors and conductivity by electroless growth of Cu/Cu2O particles on sol-gel modified cellulose","Nano Research","","13","10","10.1007/s12274-020-2907-5","Justus LandsiedelWaleri RootChristian SchrammAlexander MenzelSteffen WitzlebenThomas BechtoldTung Pham","2020","http://link.springer.com/article/10.1007/s12274-020-2907-5","Article"
"ChemFET gas nanosensor arrays with alignment windows for assembly of single nanowires","Nano Research","","","","10.1007/s12274-023-5642-x","Ondřej ChmelaImrich GablechJakub SadílekJan BrodskýStella Vallejos","2023","http://link.springer.com/article/10.1007/s12274-023-5642-x","Article"
"Fe atoms anchored on defective nitrogen doped hollow carbon spheres as efficient electrocatalysts for oxygen reduction reaction","Nano Research","","14","4","10.1007/s12274-020-3151-8","Panpan SuWenjuan HuangJiangwei ZhangUtsab GuharoyQinggang DuQiao SunQike JiangYi ChengJie YangXiaoli ZhangYongsheng LiuSan Ping JiangJian Liu","2021","http://link.springer.com/article/10.1007/s12274-020-3151-8","Article"
"Dimethylammonium iodide stabilized bismuth halide perovskite photocatalyst for hydrogen evolution","Nano Research","","14","4","10.1007/s12274-020-3159-0","He ZhaoKalyani ChordiyaPetri LeukkunenAlexey PopovMousumi Upadhyay KahalyKrisztian KordasSatu Ojala","2021","http://link.springer.com/article/10.1007/s12274-020-3159-0","Article"
"Coarse and fine-tuning of lasing transverse electromagnetic modes in coupled all-inorganic perovskite quantum dots","Nano Research","","14","1","10.1007/s12274-020-3051-y","Youngsin ParkGuanhua YingAtanu JanaVitaly OsokinClaudius C. KocherTristan FarrowRobert A. TaylorKwang S. Kim","2021","http://link.springer.com/article/10.1007/s12274-020-3051-y","Article"
