PARSMitteilungen;PARSMitteilungen Computer Science general;
PharmacoEconomics Outcomes News;PharmacoEconomics Outcomes News Pharmacoeconomics and Health Outcomes Quality of Life Research Health Economics Public Health;Stay up to date with the exciting world of health economics Solve the problem of reading and monitoring the vast volumes of literature necessary to stay informed on the latest issues in pharmacoeconomics and outcomes research by reading our concise news summaries compiled in an easytoread format
PharmacoEconomics Open;PharmacoEconomics Open Pharmacoeconomics and Health Outcomes;PharmacoEconomics Open is an online openaccess journal for the publication of applied research on the economic implications and health outcomes associated with drugs devices and other healthcare interventions PharmacoEconomics Open focuses on original research and definitive reviews applying sound health economics and outcomes research methods to inform optimal healthcare policy and practice PharmacoEconomics Open offers a range of additional features designed to increase the visibility readership and educational value of the journals content Each article is accompanied by a Key Points summary giving a timeefficient overview of the content to a wide readership Articles may be accompanied by plain language summaries to assist readers who have some knowledge of but not indepth expertise in the area to understand the scientific content and overall implications of the article The journal also provides the option to include various types of digital features including animated abstracts video abstracts slide decks audio slides instructional videos infographics podcasts and animations All additional features are peer reviewed to the same high standard as the article itself Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with other Adis journals Manuscripts submitted to the journal for publication will be subject to an article processing charge APC upon acceptance Please click on the Fees and funding link for details of the current APC and open access funding and support services Adis Open Access enables you to make your journal article freely available to anyone in exchange for payment of the APC This option allows you the author to retain the copyright of the article according to the terms of the Creative Commons Attribution NonCommercial CC BYNC License which does not permit commercial reuse of the article The journal will consider fee discounts for developing countries and this is decided on a case by case basis Focuses on the economic implications associated with drugs medical devices etc Features topics such as analysis of healthcare interventions health outcomes and more Accommodates additional digital features such as video abstracts infographics etc
PharmacoEconomics German Research Articles;PharmacoEconomics German Research Articles Pharmacy;
PharmacoEconomics Italian Research Articles;PharmacoEconomics Italian Research Articles Pharmacy;
PharmacoEconomics Spanish Research Articles;PharmacoEconomics Spanish Research Articles Pharmacy;
Pharmacological Reports;Pharmacological Reports Pharmacy Drug Safety and Pharmacovigilance Pharmacotherapy;Pharmacological Reports is the official journal of Maj Institute of Pharmacology Polish Academy of Sciences Pharmacological Reports is an open forum for recent developments in experimental and clinical pharmacology dealing with the action of drugs at cellular molecular and behavioral levels It publishes research articles reviews and short communications The journal guarantees rapid publication of accepted papers comprised of fast acceptance and publication for articles It is a hybrid journal offering the choice of open access and is published bimonthly
Phenomenology and the Cognitive Sciences;Phenomenology and the Cognitive Sciences Phenomenology Philosophy of Mind Cognitive Psychology;Phenomenology and the Cognitive Sciences is an international journal that offers a forum for illuminating the intersections between phenomenology empirical science and analytic philosophy of mind The journal builds bridges between continental phenomenological approaches in the Husserlian tradition and disciplines that have not always been open to or aware of phenomenological contributions to understanding cognition and related topics The journal presents work by phenomenologists scientists and philosophers who study cognition In addition the journal offers discussion of methodological issues involving the variety of approaches appropriate for addressing these problems Phenomenology and the Cognitive Sciences provides critical review articles that address recent work in areas relevant to the connection between empirical results in experimental science and firstperson perspective A forum for illuminating the intersections between phenomenology empirical science and analytic philosophy of mind Builds bridges between the Husserlian tradition and other disciplines Addresses recent work on the connection between empirical results in experimental science and firstperson perspective
Phenomics;Phenomics Biomedicine general Human Genetics Biomedical EngineeringBiotechnology Genetics and Genomics;Phenomics is a new hybrid journal focusing on cuttingedge scientific advances in the emerging field of phenomics The dedicated editorial team welcomes studies that advances peoples knowledge on phenomics the study of phenome that is a set of measurable properties of physical chemical and biological phenotypes of individuals and populations other than the genome The journal is the official publication of International Human Phenome Institutes Shanghai Phenomics provides an international forum for highlighting the cuttingedge scientific advances in the emerging field of phenomics Dedicated and professional editorial team to serve the authors No fee for online subscription publication indexed in PMC
Philosophia;Philosophia Philosophy general Epistemology Ethics Philosophy of Language Philosophy of Mind Philosophy of Science;Philosophia is global in scope submissions and readership We welcome submissions in English from across the world including from perspectives that are underrepresented in the field Submissions should be broadly accessible scholarly contributions on topics of current or emerging philosophical interest and must adhere to high standards of clarity and argumentation Philosophia welcomes contributions in traditional areas of philosophy such as normative ethics metaethics epistemology aesthetics political philosophy general philosophy of science philosophy of language metaphysics and philosophy of mind The journal also encourages contributions to emerging areas such as applied philosophy of language environmental philosophy and philosophy of technology as well as research that advances one or more of Springer Natures Sustainable Development Goals httpswwwspringernaturecomgpresearcherssdgprogramme Contributions to the journal may take the form of special issues or collections topical papers stateofthe art surveys topical symposia short discussion notes and AuthorMeetsCritics symposia
Philosophical Studies;Philosophical Studies Philosophy general Epistemology Philosophy of Mind Ethics Metaphysics Philosophy of Language;Philosophical Studies provides a periodical dedicated to work in analytic philosophy The journal is devoted to the publication of papers in exclusively analytic philosophy and welcomes papers applying formal techniques to philosophical problems The principal aim is to publish articles that are models of clarity and precision in dealing with significant philosophical issues The readers of the journal will be kept abreast of the central issues and problems of contemporary analytic philosophy Philosophical Studies was founded in 1950 by Herbert Feigl and Wilfrid Sellars For inquiries please contact editors Wayne Davis daviswgeorgetownedu or Jennifer Lackey jlackeynorthwesternedu 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Philosophy Technology;Philosophy Technology Philosophy of Technology;Addresses the expanding scope and unprecedented impact of technologies in order to improve the critical understanding of the conceptual nature and practical consequences and hence provide the conceptual foundations for their fruitful and sustainable developments The journal welcomes highquality submissions regardless of the tradition school of thought or disciplinary background from which they derive Your article in Philosophy Technology Submit your article online via httpwwweditorialmanagercomphte All submissions are subjected to doubleblind peer review the average peer review time is 3 months Authors wishing to submit a reply article or a proposal for a review article a book symposium a special issue or a focused debate are invited to contact the Assistant Editor for further information
Philosophy of Management;Philosophy of Management Philosophy general Business and Management general International Political Economy Quality of Life Research;Philosophy of Management is published four times a year It offers an independent refereed forum for philosophers theorists and management practitioners to apply philosophical scrutiny to management theory and practice It seeks to define and develop the field of philosophy of management and is directed to philosophers working in all traditions Now in its twelfth year Philosophy of Management is the leading forum for philosophicallyinformed thinking about management in theory and practice Through its pages conferences seminars and discussion list it defines and develops the field of philosophy of management Journal readers include thinkers scholars teachers consultants and practitioners in 20 countries The Journal is for philosophers working in all traditions for management thinkers concerned with the philosophical foundations and validity of their subject and practising managers seeking to engage with the philosophical issues raised by what they believe and do Contributors have included leading philosophers management scholars consultants and managers Discusses the philosophy of management in theory and practice Covers business ethics ontology epistemology aesthetics politics and more Four issues per year each focused on a central theme
Philosophy Ethics and Humanities in Medicine;Philosophy Ethics and Humanities in Medicine Philosophy of Medicine Theory of MedicineBioethics;
Photochemical Photobiological Sciences;Photochemical Photobiological Sciences Physical Chemistry Biochemistry general Biomaterials Plant Sciences;Photochemical Photobiological Sciences PPS is a monthly journal for the publication of original research papers Full papers Reviews Perspectives Communications and Technical notes of current interest in the areas of photochemistry and photobiology The journal also contains a Forum section PPS will be published under the Springer imprint as of 2021 and is the official journal of the European Society for Photobiology ESP and the European Photochemistry Association EPA The journal publishes articles on the interaction of light with molecules supramolecular systems or biological matter
PhotoniX;PhotoniX Microwaves RF and Optical Engineering;
Photonic Network Communications;Photonic Network Communications Computer Communication Networks Electrical Engineering Characterization and Evaluation of Materials;This journal publishes papers involving optical communication networks Coverage includes network and system technologies network and system architectures network access and control network design planning and operation interworking and application design for an optical infrastructure This journal publishes highquality peerreviewed papers presenting research results major achievements and trends involving all aspects of optical network communications Among the topics explored are transport access and customer premises networks local regional and global networks transoceanic and undersea networks optical transparent networks WDM HWDM and OTDM networks and more Offers research results major achievements and trends involving alloptical communication networks The first and only journal that focuses primarily on photonic networks Covers network and system technologies and architectures access and control design planning and operation interworking and application design 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Photonic Sensors;Photonic Sensors Optics Lasers Photonics Optical Devices Measurement Science and Instrumentation Microwaves RF and Optical Engineering;Photonic Sensors is a fully sponsored doubleblind peerreviewed open access journal published under the brand SpringerOpen It presents original peerreviewed articles that report on new developments of interest to members of the photonics and sensor communities in all fields of photonic sensing science and technology The journals coverage includes optical fiber sensors planar waveguide sensors laserbased sensors and biophotonic sensors and more Photonic Sensors focuses on experimental contributions related to novel principles structures or materials for photonic sensors In addition to research articles the journal publishes letters and review articles providing an opportunity to rapidly disseminate research results of timely interest and comprehensive reviews of emerging topics The publication costs are covered by University of Electronic Science and Technology of China so authors do not need to pay an articleprocessing charge The journal operates a doubleblind peerreview system where the reviewers do not know the names or affiliations of the authors and the reviewer reports provided to the authors are anonymous All articles published are made freely and permanently accessible online immediately upon publication without subscription charges or registration barriers Further information about open access can be found at httpswwwspringeropencomaboutopenaccess As authors of articles published in Photonic Sensors you are the copyright holders of your article and have granted to any third party in advance and in perpetuity the right to use reproduce or disseminate your article according to the SpringerOpen copyright and license agreement httpswwwspringeropencomgetpublishedcopyrightcopyrightandlicenseagreement For those of you who are US government employees or are prevented from being copyright holders for similar reasons SpringerOpen can accommodate nonstandard copyright lines Please contact infospringeropencom if further information is needed Reports on new developments in photonic sensing and technology APC fully covered by University of Electronic Science and Technology of China High visibility for your work with open access
Photosynthesis Research;Photosynthesis Research Plant Sciences Plant Physiology Biochemistry general Plant Genetics and Genomics;Photosynthesis Research is an international journal which publishes research in all areas in and related to photosynthesis The journal welcomes basic and applied research at all levels of organization including molecular subcellular cellular whole plants canopy ecosystem and global Research in all photosynthetic systems including natural organisms and semiartificial systems are considered The breadth of research covered by the journal includes and is not limited to the following areas in photosynthesis Light absorption and emission excitation energy transfer charge separation electron and proton transfer catalysis Carbon assimilationmetabolism and photorespiration Structure and function Regulatory phenomena Ecosystems agriculture and the environment Climate change renewable energy and fuels Evolution Research in photosynthesis employing various disciplines are welcome including but not limited to biochemistry biophysics cell and molecular biology genomics theory and modelling Studies taking an interdisciplinary approach with a broad range of experimental and theoretical techniques are encouraged Photosynthesis Research is the official journal of the International Society for Photosynthesis Research ISPR Discusses both basic and applied aspects of photosynthesis Includes research at all levels of plant organization molecular subcellular cellular whole plant canopy ecosystem etc Covers photophosphorylation carbon assimilation regulatory phenomena molecular biology environmental and ecological aspects photorespiration and more
Photosynthetica;Photosynthetica Plant Physiology;
Physical Mesomechanics;Physical Mesomechanics Classical Mechanics Solid State Physics Materials Science general;Physical Mesomechanics deals with the study of the deformation behavior and physicalmechanical properties of materials determined by the relationship between their hierarchical structure and physical mechanisms across multiple scales Physical Mesomechanics is an international peerreviewed journal that publishes theoretical and experimental results in the field of physical mesomechanics and other related areas that effectively utilize physical mesomechanics concepts including the physics of strength and plasticity materials science fracture mechanics geomechanics and geodynamics multiscale approaches to the development of advanced materials nondestructive testing etc The journal accepts fulllength articles and reviews discussing the relationship between the structure physicalmechanical properties deformation and fracture of structural and functional materials including nano and metamaterials composites biomedical and additively manufactured materials and geomaterials The journal welcomes manuscripts from all countries PEER REVIEW Physical Mesomechanics is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 15 days The average rejection rate for submitted manuscripts is 44 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Physical Oceanography;Physical Oceanography Oceanography Remote SensingPhotogrammetry Atmospheric Sciences Climate Change Environmental Physics;
Physical and Engineering Sciences in Medicine;Physical and Engineering Sciences in Medicine Biomedicine general Biological and Medical Physics Biophysics Medical and Radiation Physics Biomedical Engineering and Bioengineering;Physical and Engineering Sciences in Medicine is a multidisciplinary forum for information and research on the application of physics and engineering to medicine covering a broad range of topics that include but is not limited to Radiation measurements and nuclear technology in medicine and physiology Medical physics in nuclear medicine radiotherapy and diagnostic radiology Clinical biomedical engineering Signal processing and feature extraction of biomedical signals Medical imaging and image processing contributions to new and improved methods Nanotechnology in medicine Professional issues in medical physics and biomedical engineering Article types include reviews scientific papers notes AI notes book reviews and letters to the editor Physical and Engineering Sciences in Medicine is the journal of the Australasian College of Physical Scientists and Engineers in Medicine and also the official journal of the College of Biomedical Engineers Engineers Australia and the AsiaOceania Federation of Organizations for Medical Physics Details Concerning the Submission and Publication Procedures No Page Charges No Fees for Color Images Online and Print Covers the application of physics and engineering to medicine and biology 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Physics and Chemistry of Minerals;Physics and Chemistry of Minerals Mineralogy Crystallography and Scattering Methods Geochemistry Mineral Resources;Physics and Chemistry of Minerals is an international journal devoted to publishing articles and short communications of physical or chemical studies on minerals or solids related to minerals Coverage emphasizes applications of modern techniques or new theories and models to interpret atomic structures and physical or chemical properties of minerals The range of topics includes relationships between atomic structure and crystalline state general solid state spectroscopy experimental and theoretical analysis of chemical bonding in minerals physical properties relations between thermal expansion compressibility elastic constants and fundamental properties of atomic structure particularly as applied to geophysical problems electron microscopy in support of physical and chemical studies computational methods in the study of the structure and properties of minerals mineral surfaces and more International coverage of physical and chemical studies on minerals or solids related to minerals Applies modern techniques new theories and models to interpret atomic structure physical and chemical properties Covers chemical bonding compressibility thermal expansion and fundamental properties and more Explores new techniques in electron microscopy computational methods 95 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Physics in Perspective;Physics in Perspective Physics general;Physics in Perspective seeks to bridge the gulf between physicists and nonphysicists through historical and philosophical studies that typically display the unpredictable as well as the crossdisciplinary interplay of observation experiment and theory that has occurred over extended periods of time in academic governmental and industrial settings and in allied disciplines such as astrophysics chemical physics and geophysics The journal also publishes firstperson accounts by physicists of significant contributions they have made biographical articles book reviews and guided tours of historical sites in cities throughout the world It strives to make all articles understandable to a broad spectrum of readers scientists teachers students and the public at large Bibliographic Data Phys Perspect 1 volume per year 4 issues per volume approx 500 pages per volume Format 155 x 235cm ISSN 14226944 print ISSN 14226960 electronic
Physics of Atomic Nuclei;Physics of Atomic Nuclei Particle and Nuclear Physics;Physics of Atomic Nuclei is an international peerreviewed journal that covers experimental and theoretical studies of nuclear physics nuclear structure spectra and properties radiation fission and nuclear reactions induced by photons leptons hadrons and nuclei fundamental interactions and symmetries hadrons with light strange charm and bottom quarks particle collisions at high and superhigh energies gauge and unified quantum field theories quark models supersymmetry and supergravity astrophysics and cosmology The journal welcomes manuscripts from all countries PEER REVIEW Physics of Atomic Nuclei is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 21 days The average rejection rate for submitted manuscripts is 20 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Founded in 1965 the leading Russian journal on elementary particles and nuclei Focuses on experimental and theoretical studies of nuclear physics Coverage includes nuclear structure spectra and properties radiation fission and nuclear reactions induced by photons leptons hadrons and nuclei fundamental interactions and symmetries and more
Physics of Metals and Metallography;Physics of Metals and Metallography Metallic Materials;Physics of Metals and Metallography is an international peerreviewed journal that covers the theory of metals and metal alloys their electrical and magnetic properties as well as their structure phase transformations and principal mechanical properties The journal publishes scientific reviews and papers written by experts involved in fundamental application and technological studies The journal welcomes manuscripts from all countries PEER REVIEW Physics of Metals and Metallography is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 4 days The average rejection rate for submitted manuscripts is 19 The final decision on the acceptance of an article for publication is made by the EditorinChief Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Founded in 1955 through the USSR Academy of science Covers theory of metals and metal alloys their magnetic properties and their structure Publishes scientific reviews and papers written by experts
Physics of Particles and Nuclei;Physics of Particles and Nuclei Particle and Nuclear Physics;Physics of Particles and Nuclei is an international peerreviewed journal that publishes original and review articles devoted to the problems of elementary particle physics nuclear physics condensed matter physics astrophysics experimental data processing accelerators and related instrumentation ecology and radiology The journal welcomes manuscripts from all countries PEER REVIEW Physics of Particles and Nuclei is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 33 days The average rejection rate for submitted manuscripts is 20 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Founded in 1969 by N N Bogolyubov Presents review articles by physicists of the JINR and others worldwide Coverage includes elementary particle physics nuclear physics condensed matter physics experimental data processing accelerators and related instrumentation
Physics of Particles and Nuclei Letters;Physics of Particles and Nuclei Letters Particle and Nuclear Physics;Physics of Particles and Nuclei Letters is an international peerreviewed journal that publishes results of original theoretical experimental engineering methodological and applied research The journal covers theoretical physics elementary particle physics relativistic nuclear physics nuclear physics and related problems in other branches of physics neutron physics condensed matter physics physics and engineering at low temperatures physics and engineering of accelerators physical experimental instruments and methods computing in physics applied research in these branches of physics and radiology ecology and nuclear medicine The journal welcomes manuscripts from all countries PEER REVIEW Physics of Particles and Nuclei Letters is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 20 days The average rejection rate for submitted manuscripts is 30 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Publishes articles with the results of original theoretical experimental scientifictechnical methodical and applied research The range of formats accepted for publication includes Regular Articles Methods for Experiment and Theory Scientific Letters Coverage extends to a broad range of other branches of physics
Physics of Wave Phenomena;Physics of Wave Phenomena Quantum Optics Acoustics;Physics of Wave Phenomena is an international peerreviewed journal It publishes original contributions in wave processes including nonlinear processes in optics acoustics radio physics mechanics gravitation fundamental and applied photonics optoelectronics fiber optics cyclic and stochastic processes in various media including biological objects phase transitions methods and tools for studying wave processes including linear and nonlinear spectroscopy laser systems laser materials and technologies wave processes at meso nano and microlevels phenomena in strong electromagnetic fields laser plasma physical methods in medicine and biology and remote sensing of natural media The journal welcomes manuscripts from all countries PEER REVIEW Physics of Wave Phenomena is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 15 days The average rejection rate for submitted manuscripts is 65 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Elucidates recent theoretical and experimental achievements in modern physics of oscillations and waves Covers a variety of applications in fundamental areas of phenomenology and technology Provides a broad interdisciplinary forum for active researchers in these related fields
Physics of the Solid State;Physics of the Solid State Solid State Physics;Physics of the Solid State is an international peerreviewed journal that presents the latest results in all areas of solid state physics including solid state optics solid state acoustics electronic and vibrational spectra phase transitions ferroelectricity magnetism and superconductivity It also presents review papers on the most important problems in solid state physics The journal welcomes manuscripts from all countries PEER REVIEW Physics of the Solid State is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 20 days The average rejection rate for submitted manuscripts is 20 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Presents the latest results from Russias leading researchers in condensed matter physics Includes all areas of solid state physics including solid state optics solid state acoustics electronic and vibrational spectra phase transition ferroelectricity magnetism and superconductivity Also offers review papers on the most important problems in solid state physics
Physiology and Molecular Biology of Plants;Physiology and Molecular Biology of Plants Plant Sciences Plant Physiology Biological and Medical Physics Biophysics Cell Biology;Official publication of the prestigious Prof HS Srivastava Foundation for Science Society International journal in the field of functional plant biology Twice awarded SpringerNature badge for editorial excellence 2019 and 2020 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Phytochemistry Reviews;Phytochemistry Reviews Plant Sciences Plant Genetics and Genomics Biochemistry general Organic Chemistry ChemistryFood Science general;Phytochemistry Reviews is an international journal that publishes peerreviewed reviews and perspectives The journal presents insights and syntheses advancing knowledge of plants with respect to their chemistry function biosynthesis as well as the effect of plants and their specialized compounds on other organisms Also in scope is the application of such knowledge in agriculture and industry In addition the journal publishes topical issues some of which result from meetings organized by the Phytochemical Society of Europe PSE and by the Phytochemical Society of North America PSNA The review and perspective articles published in the journal provide a thorough overview of the current state of knowledge in all areas in phytochemistry The only review journal covering all aspects of phytochemistry Presents original review papers advancing knowledge of plants Coverage includes application of knowledge in agriculture and industry 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Phytoparasitica;Phytoparasitica Plant Pathology Plant Sciences Ecology Agriculture Life Sciences general;Phytoparasitica is an international journal that publishes original research contributions on the biological chemical and molecular aspects of Entomology Plant Pathology Virology Nematology and Weed Sciences including insecticides fungicides herbicides and other biocides Emphasis is laid on new approaches in the control of pests and diseases The Journal also publishes Guest Editorials invited reviews and research notes International journal of plant protection sciences EditorsinChief S Freeman Agricultural Research Organization JC Franco Instituto Superior de Agronomia Presents basic and applied research in the fields of Entomology Plant Pathology and Weed Science Offers papers on biology of pests and approaches for their management 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Phytopathology Research;Phytopathology Research Plant Sciences Plant Pathology;
Phytothrapie;Phytothrapie MedicinePublic Health general Complementary Alternative Medicine;
Pilot and Feasibility Studies;Pilot and Feasibility Studies MedicinePublic Health general Biomedicine general Statistics for Life Sciences Medicine Health Sciences;
Pituitary;Pituitary Endocrinology Human Physiology;Pituitary is an international publication devoted to basic and clinical aspects of the pituitary gland It is designed to publish original high quality research in both basic and pituitary function as well as clinical pituitary disease The journal considers Biology of Pituitary Tumors Mechanisms of Pituitary Hormone Secretion Regulation of Pituitary Function Prospective Clinical Studies of Pituitary Disease Critical Basic and Clinical Reviews Pituitary is directed at basic investigators physiologists clinical adult and pediatric endocrinologists neurosurgeons and reproductive endocrinologists interested in the broad field of the pituitary and its disorders The Editorial Board has been drawn from international experts in basic and clinical endocrinology The journal offers a rapid turnaround time for review of manuscripts and the high standard of the journal is maintained by a selective peerreview process which aims to publish only the highest quality manuscripts Pituitary will foster the publication of creative scholarship as it pertains to the pituitary and will provide a forum for basic scientists and clinicians to publish their high quality pituitaryrelated work
Place Branding and Public Diplomacy;;
Planetary Science;Planetary Science Space Sciences including Extraterrestrial Physics Space Exploration and Astronautics Planetology;
Plant Biotechnology Reports;Plant Biotechnology Reports Plant Sciences Cell Biology Plant Biochemistry Biotechnology Agriculture;Plant Biotechnology Reports offers original peerreviewed articles dealing with all aspects of fundamental and applied research in the field of plant biotechnology Coverage extends to molecular biology genetics biochemistry cell and tissue culture production of secondary metabolites metabolic engineering genomics proteomics and metabolomics Plant Biotechnology Reports emphasizes studies on plants indigenous to the AsiaPacific region and studies related to commercialization of plant biotechnology Plant Biotechnology Reports does not exclude studies on lower plants including algae and cyanobacteria if these studies are carried out within the aspects described above Offers original peerreviewed papers on fundamental and applied research in plant biotechnology Coverage extends to molecular biology genetics biochemistry cell and tissue culture metabolic engineering genomics proteomics and metabolomics Emphasizes studies on plants indigenous to the AsiaPacific region and studies related to commercialization of plant biotechnology
Plant Cell Reports;Plant Cell Reports Plant Sciences Cell Biology Biotechnology Plant Biochemistry;Plant Cell Reports publishes original peerreviewed articles on new advances in all aspects of plant cell science plant genetics and molecular biology Papers selected for publication contribute significant new advances to clearly identified technological problems andor biological questions The articles will prove relevant beyond the narrow topic of interest to a readership with broad scientific background The coverage includes such topics as genomics and genetics metabolism cell biology abiotic and biotic stress phytopathology gene transfer and expression molecular pharming systems biology nanobiotechnology genome editing phenomics and synthetic biology The journal also publishes opinion papers review and focus articles on the latest developments and new advances in research and technology in plant molecular biology and biotechnology Why publish with us Our journal is ranked in the top quartile of plant sciences journals worldwide and welcomes research from across the entire field of basic and applied science and technology in plant science We provide articles and reports on a wide range of topics including genomics and genetics cell biology gene transfer gene expression molecular pharming and plant stress biology Our editorial team is recognized for outstanding performance and we help promote your article through our social media activities
Plant Cell Tissue and Organ Culture PCTOC;Plant Cell Tissue and Organ Culture PCTOC Plant Sciences Plant Physiology Plant Genetics and Genomics Plant Pathology;PCTOC highlights breakthrough technologies and discoveries in plant biology and biotechnology including highthroughput analysis of gene function and expression RNAi siRNA miRNA CRISPRCas9 studies and much more The journal is also interested in practical and applied plant biotechnology spanning the field from new insights into the process of in vitro propagation to the conservation of plant biodiversity by SGS and cryopreservation Bioinformatic transcriptome analysis studies may be considered if linked to plant cell tissue or organ culture in vitro PCTOC publishes original articles reviews and perspective papers covering novel discoveries Papers must focus on timely research on plant biotechnology should be concise and of interest to a wide audience Studies lacking adequate replication and statistical analysis will be rejected Highlights breakthrough technologies and discoveries in plant biology and biotechnology since more than 40 years Examines the transcriptional andor translational events involved in gene regulation as well as those molecular controls involved in morphogenesis of plant cells and tissues Covers practical and applied plant biotechnology Publishes timely Topical Collections on all aspects of plant cell culture and biotechnology
Plant Ecology;Plant Ecology Ecology Plant Ecology Community Population Ecology Terrestial Ecology Applied Ecology Biodiversity;Plant Ecology publishes original scientific papers that report and interpret the findings of pure and applied research into the ecology of vascular plants in terrestrial and wetland ecosystems Empirical experimental theoretical and review papers reporting on ecophysiology population community ecosystem landscape molecular and historical ecology are within the scope of the journal Average time from receipt of contributions to first decision 40 days Formerly published as Vegetatio Offers original scientific papers on the ecology of vascular plants in terrestrial and wetland ecosystems Presents symposium proceedings review articles and comments on recent papers EditorsinChief WE Rogers Texas AM University College Station TX USA Neal J Enright Murdoch University Perth Australia 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Plant Foods for Human Nutrition;Plant Foods for Human Nutrition Food Science ChemistryFood Science general Nutrition Ecology Plant Physiology;Plant Foods for Human Nutrition formerly Qualitas Plantarum is an international journal presenting reports of original research and critical reviews concerned with the improvement and evaluation of the nutritional quality of plant foods for humans as they are influenced by Biotechnology including molecular biology and genetic engineering Food science and technology Functional nutraceutical or pharma foods Other nutrients and nonnutrients inherent in plant foods Presents original research and critical reviews regarding improvement and evaluation of the nutritional quality of plant foods for humans Coverage includes biotechnology food science and technology functional nutraceutical or pharma foods and other topics EditorinChief O ParedesLopez Centro de Investigacin y de Estudios Avanzados del IPN Unidad Irapuato Mexico 95 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
