CABI Agriculture and Bioscience;CABI Agriculture and Bioscience Agriculture;
Cellular and Molecular Life Sciences;Cellular and Molecular Life Sciences Cell Biology Biomedicine general Life Sciences general Biochemistry general;The multidisciplinary journal Cellular and Molecular Life Sciences CMLS publishes research articles reviews CMLS forum reviews and visions reflections articles covering the latest aspects of biological and biomedical research The journal will consider contributions focusing on biochemistry and molecular biology cell biology molecular and cellular aspects of biomedicine neuroscience pharmacology and immunology In addition CMLS welcomes comments on any article published in CMLS as well as suggestions for topics to be covered Publication Schedule One volume comprising 24 issues per year Peer Review Of all contributions by an international board of experts Details concerning the submission and publication procedures No page charges No fee for online color images Optional Open Access Publication Fee APC USD 3860 EURO 3060 GBP 2560 Why publish with us We are a peerreviewed journal publishing articles reviews and reflections on the latest aspects of biological and biomedical research Our coverage includes molecular and cellular aspects of biomedicine cell biology immunology neuroscience biochemistry and pharmacology We provide high levels of author satisfaction with 94 of our published authors reporting that they would definitely or probably publish with us again
Cellular and Molecular Neurobiology;Cellular and Molecular Neurobiology Neurosciences Cell Biology Neurobiology;Cellular and Molecular Neurobiology publishes original research concerned with the analysis of neuronal and brain function at the cellular and subcellular levels The journal offers timely peerreviewed articles that describe anatomic genetic physiologic pharmacologic and biochemical approaches to the study of neuronal function and the analysis of elementary mechanisms 97 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Cellulose;Cellulose Bioorganic Chemistry Physical Chemistry Organic Chemistry Polymer Sciences Ceramics Glass Composites Natural Materials Sustainable Development;Cellulose is an international journal devoted to the dissemination of research and scientific and technological progress in the field of cellulose and related naturally occurring polymers The journal is concerned with the pure and applied science of cellulose and related materials and also with the development of relevant new technologies This includes the chemistry biochemistry physics and materials science of cellulose and its sources including wood and other biomass resources and their derivatives Coverage extends to the conversion of these polymers and resources into manufactured goods such as pulp paper textiles and manufactured as well natural fibers and to the chemistry of materials used in their processing Cellulose publishes review articles research papers and technical notes Color art is free of charge for print and online publication Covers the pure and applied science of cellulose and related materials and also development of relevant new technologies Explores the chemistry biochemistry physics and materials science of cellulose and its sources Also publishes review articles research papers and technical notes 99 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Central European Journal of Biology;Central European Journal of Biology Life Sciences general Cell Biology Biochemistry general Human Genetics Immunology Biotechnology;
Central European Journal of Chemistry;Central European Journal of Chemistry ChemistryFood Science general Biochemistry general Biological and Medical Physics Biophysics Geochemistry;
Central European Journal of Computer Science;Central European Journal of Computer Science Computer Science general;
Central European Journal of Engineering;Central European Journal of Engineering Engineering general;
Central European Journal of Geosciences;Central European Journal of Geosciences Earth Sciences general;
Central European Journal of Mathematics;Central European Journal of Mathematics Mathematics general Algebra Number Theory Topological Groups Lie Groups Geometry Probability Theory and Stochastic Processes;
Central European Journal of Medicine;Central European Journal of Medicine MedicinePublic Health general Internal Medicine Reproductive Medicine Surgery Maternal and Child Health Biomedicine general;
Central European Journal of Operations Research;Central European Journal of Operations Research Operations ResearchDecision Theory;The Central European Journal of Operations Research is the official journal of the sterreichische Gesellschaft fr Operations Research The journal offers high quality papers that cover the theory and practice of operations research and the relationship of operations research methods to modern quantitative economics and business administration Each issue expands our understanding of managerial problems in complex systems and supports the decisionmaking process Among the key topics covered are finance and banking productivity and efficiency in the public sector environmental and energy issues computational tools for strategic decision support production management and logistics and planning and scheduling This journal features theoretical papers as well as applicationoriented contributions and practical case studies Occasionally special issues feature a particular area of investigation or a detailed report on the results of scientific meetings Officially cited as Cent Eur J Oper Res Enhances the understanding of managerial problems in complex systems and supports decisionmaking processes Official journal of the sterreichische Gesellschaft fr Operations Research Publishes high quality papers covering the theory and practice of operations research and the relationship of operations research methods to modern quantitative economics and business administration
Central European Journal of Physics;Central European Journal of Physics Physics general Physical Chemistry GeophysicsGeodesy Environmental Physics Biological and Medical Physics Biophysics;
Cereal Research Communications;Cereal Research Communications Plant BreedingBiotechnology Agriculture Plant Genetics and Genomics Plant Physiology;This journal publishes original papers presenting new scientific results on breeding genetics physiology pathology and production of primarily wheat rye barley oats and maize
Cerebellum Ataxias;Cerebellum Ataxias Neurobiology Neurosciences Neurology Neurosurgery;
ChemTexts;ChemTexts ChemistryFood Science general Biochemistry general Environmental Chemistry;From the SCOPUS Review The journal publishes review articles that have a didactic slant The articles concisely describe various aspects of modern chemical research at a level that makes them extremely useful to graduate students and to senior scientists The production and editorial standards are very high while the writing is clear and accessible These aspects make the journal a welcome addition to the field This online journal publishes texts for academic education in chemistry and biochemistry with the aim of imparting contemporary knowledge to students at an exceptionally high didactic level Typical texts offer selfconsistent treatment of a topic which could be part of a textbook These are thoroughly illustrated and may also include such supplementary material as animated presentations or Videos The range of topics spans traditional areas of chemistry such as organic inorganic and physical chemistry plus analytical chemistry technical chemistry environmental and green chemistry food chemistry theoretical and computational chemistry biochemistry and chemical biology It also includes material in the rapidly emerging areas of nanotechnology energy and security The peerreviewed texts mirror the current state of knowledge offering genuine improvements over existing textbook material Publishes current peerreviewed texts on contemporary topics in chemistry and biochemistry Offers valuable improvement over typical textbook material A new concept in scientific publishing ChemTexts authors can freely share their article with students through SharedIt
Chemical Papers;Chemical Papers ChemistryFood Science general Industrial ChemistryChemical Engineering Biochemistry general Medicinal Chemistry Materials Science general Biotechnology;Chemical Papers is a peerreviewed international journal devoted to basic and applied chemistry and chemical engineering research It has a broad scope covering all chemical sciences including industrial and engineering chemistry Interdisciplinary research and studies that bring chemistry together with other disciplines are also eligible Fields of interest to the journal include analytical chemistry biocatalysis biochemistry chemical biotechnology biochemical engineering chemical physics drug chemistry food chemistry environmental chemistry inorganic chemistry macromolecular chemistry materials chemistry mathematical chemistry medical and pharmaceutical chemistry nanochemistry organic chemistry and physical chemistry Devoted to basic and applied chemistry and chemical engineering Interdisciplinary research welcome Covering all fields of chemistry Chemical Papers publishes original fulllength papers short communications and reviews Short communications may be processed and published faster when urgent publication is substantiated Longer review articles must be submitted with previous consent from the EditorinChief but this is not necessary for shorter reviews Devoted to basic and applied chemical research Favors interdisciplinary research Covering all fields of chemistry
Chemical Research in Chinese Universities;Chemical Research in Chinese Universities ChemistryFood Science general Analytical Chemistry Inorganic Chemistry Organic Chemistry Physical Chemistry;The journal Chemical Research in Chinese Universities is a comprehensive academic journal in the field of chemistry published bimonthly since 1984 The journal publishes research articles letterscommunications and reviews written by faculty members researchers and postgraduates in universities colleges and research institutes all over China and overseas It reports the latest and most creative results of important fundamental research in all aspects of chemistry and of developments with significant consequences across subdisciplines This journal is sponsored by Jilin University and mandated by the Ministry of Education of P R China Main research areas include but are not limited to Organic chemistry synthesis characterization and application Inorganic chemistry bioinorganic chemistry inorganic material chemistry Analytical chemistry especially chemometrics and the application of instrumental analysis and spectroscopy Physical chemistry mechanisms catalysis thermodynamics and dynamics Polymer chemistry and polymer physics mechanisms material catalysis thermodynamics and dynamics Quantum chemistry quantum mechanical theory quantum partition function quantum statistical mechanics Biochemistry Biochemical engineering Medicinal chemistry Nanoscience nanochemistry nanomaterials A comprehensive academic journal in the field of chemistry founded in 1984 indexed by SCIE Reports the latest and most creative results of important fundamental research in all aspects of chemistry and of developments with significant consequences across subdisciplines The Editorial Board and the Advisory Board consist of 89 wellknown chemists and 37 of them are the Academicians of the Chinese Academy of Sciences
Chemical and Biological Technologies in Agriculture;Chemical and Biological Technologies in Agriculture Agriculture Organic Chemistry Plant Biochemistry Soil Science Conservation Plant Physiology;
Chemical and Petroleum Engineering;Chemical and Petroleum Engineering Industrial ChemistryChemical Engineering Mineral Resources Geotechnical Engineering Applied Earth Sciences Industrial Pollution Prevention;Chemical and Petroleum Engineering publishes the latest research on Russian innovations in the field Articles discuss developments in machinery and equipment construction and design processes materials and corrosion control and equipmentmanufacturing technology Chemical and Petroleum Engineering is a translation of the peerreviewed Russian journal Khimicheskoe i Neftegazovoe Mashinostroenie The Russian Volume Year is published in English from April Brings together scientific research and practical applications Serves as a centre for exchange of experience in related fields Gives broad coverage of the latest developments in all areas of chemical and petroleum engineering
Chemistry Africa;Chemistry Africa ChemistryFood Science general Inorganic Chemistry Organometallic Chemistry;Chemistry Africa A Journal of the Tunisian Chemical Society welcomes original research contributions on theory and practice in all fields of chemistry In addition to extending its international reach Chemistry Africa endeavors to provide a modern visible and highquality publishing platform for panAfrican research in chemistry and in particular green chemistry with a view to making progress towards sustainable development in Africa In selecting manuscripts for publication the editors place emphasis on the quality and originality of the work An international journal covering all branches of chemistry Endeavors to promote the visibility and quality of panAfrican publications Welcomes studies from Africa and all over the world that promote sustainability
Chemistry and Technology of Fuels and Oils;Chemistry and Technology of Fuels and Oils Industrial ChemistryChemical Engineering Mineral Resources Geotechnical Engineering Applied Earth Sciences;Chemistry and Technology of Fuels and Oils publishes reports on improvements in the processing of petroleum and natural gas and cracking and refining techniques for the production of highquality fuels oils greases specialty fluids additives and synthetics The journal includes timely articles on the demulsification desalting and desulfurizing of crude oil new flow plans for refineries platforming isomerization catalytic reforming and alkylation processes for obtaining aromatic hydrocarbons and highoctane gasoline methods of producing ethylene acetylene benzene acids alcohols esters and other compounds from petroleum as well as hydrogen from natural gas and liquid products Chemistry and Technology of Fuels and Oils is a translation of the peerreviewed Russian journal Khimiya i Tekhnologiya Topliv i Masel The Russian Volume Year is published in English from April Brings timely publications on recent advances in oil and gas industry Discusses theoretical and applied problems of Up and Down Stream Gives special attention to oil refining and petrochemicals
Chemistry of Heterocyclic Compounds;Chemistry of Heterocyclic Compounds Organic Chemistry Pharmacy;Chemistry of Heterocyclic Compounds publishes articles letters to the Editor reviews and minireviews on the synthesis structure reactivity and biological activity of heterocyclic compounds including natural products The journal covers investigations in heterocyclic chemistry taking place in scientific centers of all over the world Chemistry of Heterocyclic Compounds is a translation of the peerreviewed journal Khimiya Geterotsiklicheskikh Soedinenii More information is available at the editors website via the following link httpwwwosilvhgshgshtml The Journal discusses a wide range of topics including fundamental aspects physical and chemical properties and new trends in the synthesis structure and reactivity of heterocyclic compounds The Journal also draws attention to the practical application of heterocyclic compounds in the pharmacy and process chemistry The publications are of high interest both to the scientific and industrial societies 94 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Chemistry of Natural Compounds;Chemistry of Natural Compounds ChemistryFood Science general Organic Chemistry Plant Sciences;Chemistry of Natural Compounds publishes reviews and general articles about the structure of different classes of natural compounds the chemical characteristics of botanical families genus and species to establish the comparative laws and connection between physiological activity and the structure of substances Chemistry of Natural Compounds is a translation of the peerreviewed Russian language journal Khimiya Prirodnykh Soedinenii The Russian Volume Year is published in English from April English translation of Khimiya Prirodnykh Soedinenii Offers reviews and general articles on the structure of different classes of natural compounds the chemical characteristics of botanical families genus and species The Russian Volume Year is published in English from April 96 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Chemoecology;Chemoecology Ecology Entomology Nature Conservation;Offers research papers that integrate evolution andor ecology and chemistry Presents articles on trophic relationships intra and interspecific communication competition and other kinds of chemical communication Publishes full papers short communications reviews and commentaries It is the aim of Chemoecology to promote and stimulate basic science in the field of chemical ecology by publishing research papers that integrate evolution andor ecology and chemistry in an attempt to increase our understanding of the biological significance of natural products Its scopes cover the evolutionary biology mechanisms and chemistry of biotic interactions and the evolution and synthesis of the underlying natural products Manuscripts on the evolution and ecology of trophic relationships intra and interspecific communication competition and other kinds of chemical communication in all types of organismic interactions will be considered suitable for publication Ecological studies of trophic interactions will be considered also if they are based on the information of the transmission of natural products eg fatty acids through the foodchain Chemoecology further publishes papers that relate to the evolution and ecology of interactions mediated by nonvolatile compounds eg adhesive secretions Mechanistic approaches may include the identification biosynthesis and metabolism of substances that carry information and the elucidation of receptor and transduction systems using physiological biochemical and molecular techniques Papers describing the structure and functional morphology of organs involved in chemical communication will also be considered Bibliographic Data Chemoecology First published in 1990 Relaunched in 1998 1 volume per year 4 issues per volume approx 240 pages per volume Format 21 x 279 cm ISSN 09377409 print ISSN 14230445 electronic Reviews Chemoecology was relaunched in 1998 with new editors but an unbroken series of volume numbers The first new volume covers a wide range of organisms with a good balance between those of land and sea but there is a preponderance of insects and plants Chemically mediated systems can offer unique opportunities for researchers to investigate hot evolutionary topics for example in sexual selection and the evolution of mate communication Paradoxically as chemical ecology becomes more mainstream the challenge for journals like Chemoecology is to attract authors from higherimpact evolution and ecology journals An important factor will be the likelihood of articles being found by online electronic searches Tristram D Wyatt Nature Vol 401 Sept 1999
Chemosensory Perception;Chemosensory Perception Food Science Neurosciences Clinical Nutrition;
Chesapeake Science;Chesapeake Science Environment general;
Child Youth Care Forum;Child Youth Care Forum Child and School Psychology;Child Youth Care Forum is a peerreviewed multidisciplinary publication that welcomes submissions original empirical research papers and theoretical reviews as well as invited commentaries on children youth and families Contributions to Child Youth Care Forum are submitted by researchers practitioners and clinicians across the interrelated disciplines of child psychology early childhood education medical anthropology pediatrics pediatric psychology psychiatry public policy schooleducational psychology social work and sociology as well as government agencies and corporate and nonprofit organizations that seek to advance current knowledge and practice Child Youth Care Forum publishes scientifically rigorous empirical papers and theoretical reviews that have implications for child and adolescent mental health psychosocial development assessment interventions and services broadly defined For example papers may address issues of child and adolescent typical andor atypical development through effective youth care assessment and intervention practices In addition papers may address strategies for helping youth overcome difficulties eg mental health problems or overcome adversity eg traumatic stress community violence as well as all children actualize their potential eg positive psychology goals Assessment papers that advance knowledge as well as methodological papers with implications for child and youth research and care are also encouraged SELECTED FOR COVERAGE IN Beginning with V 37 1 2008 this publication will be indexed and abstracted in Social Sciences Citation Index Journal Citation Reports Social Sciences Edition Current ContentsSocial and Behavioral Sciences International multidisciplinary coverage Scientifically rigorous peerreviewed empirical articles and research reviews Original research and theoretical review papers span developmental clinical social contextual cognitive and biological processes that impact children youth and families
Child Indicators Research;Child Indicators Research Quality of Life Research Social Sciences general Social Work Child and School Psychology Quality of Life Research Early Childhood Education;Child Indicators Research presents a range of research on childrens wellbeing This includes measurements and indicators of childrens wellbeing and their usage within multiple domains and in diverse cultures as well as theoretical and methodological debates regarding what constitutes childrens wellbeing and what factors contribute to childrens wellbeing It features measures and data resources analysis of quantitative and qualitative data exploration of theoretical issues the development and use of quantitative and qualitative approaches to wellbeing and information about the status of children as well as the implementation of this information in policy and practice The journal explores how child indicators and innovations in research on child wellbeing can be used to improve the development and wellbeing of children Validation of tools is not published in the journal Child Indicators Research offers a unique applied perspective by presenting a variety of analytical models different perspectives and a range of social policy regimes It provides a source of high quality policy impact and rigorous scientific papers Presents measurements and indicators of childrens wellbeing and their usage within multiple domains and in diverse cultures Features measures and data resources analysis of the data exploration of theoretical issues and information about the status of children Presents debates about how to conceptualise wellbeing in general and across various wellbeing domains Provides an interdisciplinary forum for theoretical quantitative and qualitative research related to childrens wellbeing and its measurement Explores how child indicators can be used to improve the development and wellbeing of children
Child Psychiatry Human Development;Child Psychiatry Human Development Child and School Psychology Psychiatry;Child Psychiatry Human Development is an interdisciplinary international journal serving professionals practicing or training in child and adolescent psychiatry clinical child pediatric and family psychology pediatrics social science and human development The journal publishes research on diagnosis assessment treatment epidemiology development advocacy training cultural factors ethics policy and professional issues as related to clinical disorders in children adolescents and families The journal publishes peerreviewed original research in addition to substantive and theoretical reviews Explores a range of topics related to clinical disorders in children adolescents and families Covers diagnosis assessment treatment epidemiology development advocacy training cultural factors ethics policy and more Presents peerreviewed original research as well as substantive and theoretical reviews
Child and Adolescent Psychiatry and Mental Health;Child and Adolescent Psychiatry and Mental Health Psychiatry Pediatrics Clinical Psychology Child and Adolescent Psychiatry Forensic Psychiatry;
Child and Adolescent Social Work Journal;Child and Adolescent Social Work Journal Personality and Social Psychology Clinical Psychology Sociology general;Child and Adolescent Social Work Journal CASW has now been accepted to the SSCI The journal features original articles that focus on social work practice with children adolescents and their families The journal addresses current issues in the field of social work drawn from theory direct practice research and social policy The range of topics includes problems affecting a variety of specific populations in special settings CASW welcomes a range of scholarly contributions focused on youth including theoretical papers narrative case studies historical analyses traditional reviews of the literature descriptive studies singlesystem research designs correlational investigations methodological works preexperimental quasiexperimental and experimental evaluations metaanalyses and systematic reviews Appropriate fields of practice include interpersonal practice small groups families organizations communities policy practice nationallyoriented work and international studies Manuscripts involving qualitative quantitative and mixed methods are welcome to be submitted as are papers grounded in one or more theoretical orientations or those that are not based on any formal theory Focuses on social work practice with children adolescents and their families Addresses current issues drawn from theory direct practice research and social policy Examines problems affecting specific populations in special settings
Childs Nervous System;Childs Nervous System Neurosurgery Neurosciences;97 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again The official journal of the International Society for Pediatric Neurosurgery ISPN was founded in 1972 as Childs Brain As of 1 January 1985 the Society changed publishers The new official journal Childs Nervous System has been expanded to encompass all aspects of the pediatric neurosurgery in the fields of pediatric development and growth neurooncology neurophysiology epilepsy and trauma Each issue contains authoritative review articles original articles technical notes commentaries on current and previously published papers book reviews and letters to the Editor Original manuscripts and Brief Communications are given priority for publication Case reports are accepted although preference is for those that might generate discussion or provide an update on rare subjects New article submissions and suggestions regarding ways to improve Childs Nervous System are both solicited and welcome Authors are also encouraged to submit electronic multimedia files animations movies audio etc and other supplementary files to be published online along with their article This feature can add dimension to the authors article as certain information cannot be printed or is more convenient in electronic form 97 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again Official Journal of the International Society for Pediatric Neurosurgery ISPN and European Society for Pediatric Neurosurgery ESPN Childs Nervous System encompasses all aspects of the pediatric neurosurgery in the fields of pediatric development and growth degenerative disorders hereditary diseases neurology neurooncology neurophysiology and trauma
Childhood Vulnerability Journal;Childhood Vulnerability Journal Childhood Adolescence and Society Child and School Psychology Quality of Life Research;
Childrens Literature in Education;Childrens Literature in Education Language and Literature Language Education Education general Sociology general;Childrens Literature in Education has been a key source of articles on all aspects of childrens literature for more than 50 years featuring important interviews with writers and artists It covers classic and contemporary material the highbrow and the popular and ranges across works for very young children through to young adults It features analysis of fiction poetry drama and nonfictional material plus studies in other media such as film TV computer games online works visual narratives from picture books and comics to graphic novels textual analysis and interpretation from differing theoretical perspectives historical approaches to the area readerresponse work with children ideas for teaching childrens literature adaptation translation and publishing Features stimulating articles and interviews on noted childrens authors Presents incisive critiques of classic and contemporary writing for young readers Contains articles on fiction nonfiction poetry picture books and multimedia texts Describes and assesses developments in literary pedagogy Welcomes ideas for special issues on particular themes or critical approaches
China Accounting and Finance Review;China Accounting and Finance Review Business and Management general;
China Finance and Economic Review;China Finance and Economic Review MacroeconomicsMonetary EconomicsFinancial Economics Development Economics Economic Growth Economic Policy;
China Foundry;China Foundry Materials Engineering Metallic Materials Manufacturing Machines Tools Processes;China Foundry published bimonthly to a worldwide readership mainly reports on advanced scientific and technical achievements applied technology production successes management and leadership recent developments and industry information in the foundry field Coverage encompasses all casting technologies and includes but is not limited to novel and net shape casting technologies casting alloy design and modification control of nucleation solidification and microstructure mechanical properties computer aided design rapid prototyping mold making mold materials and binders mold and gating design melting and liquidmetal treatment and transport modeling and simulation of metal flow and solidification postcasting treatments quality control and nondestructive testing process automation and robotics and safety and environmental issues At present distribution is to 50 countries and regions and it is indexed and abstracted by Science Citation IndexExpandedsince August 2007 EBSCO Chemical Abstracts CA Cambridge Science Abstracts CSA Abstract Journal AJ and Elseviers largest abstract and citation database Scopus CNKI and Wanfang Data etc Covers all casting technologies and includes novel and net shape casting technologies casting alloy design and modification control of nucleation solidification and microstructure mechanical properties computer aided design rapid prototyping mouldmaking mould materials and binders mould and gating design melting and liquid metal treatment and transport modeling and simulation of metal flow and solidification postcasting treatments quality control and nondestructive testing process automation and robotics and safety and environmental issues Presents advanced scientific and technical achievements applied technology successful experiences in production recent development and industry information in foundry field Offers rapid review and publication of articles
China International Strategy Review;China International Strategy Review Asian Politics Political Theory International Relations Political Science;China International Strategy Review CISR publishes original writings in the fields of world politics and international strategic studies related but not limited to China and its foreign relations It encourages writers to provide leadingedge research findings and policyrelevant analysis With authors of diverse national and regional backgrounds the journal aims to serve as a bridge between Chinas strategic perspectives and those of the international community Interdisciplinary approaches are applied to make the journal intellectually rich and challenging CISR is run by the Institute of International and Strategic Studies IISS Peking University The views published in the journal are those of the individual authors and should not be construed as representing those of the IISS The journals international editorial board and rigorous peer review process should ensure that articles herein present objective highquality scholarship Publishes original writings in the fields of world politics and international strategic studies related but not limited to China and its foreign relations Encourages writers to provide leadingedge research findings and policyrelevant analysis Aims to serve as a bridge between Chinas strategic perspectives and those of the international community
China Ocean Engineering;China Ocean Engineering Offshore Engineering Oceanography Coastal Sciences Fluid and Aerodynamics Marine Freshwater Sciences Numerical and Computational Physics Simulation;China Ocean Engineering integrates new research concepts equipment technology materials and structures and other scientific advances within the field of estuarial coastal offshore and deep water engineering with particular reference to developments The Journal is concerned with all engineering aspects involved in the exploration and utilization of ocean resources Topics regularly covered include research design and construction of structures including wharfs dikes breakwaters platforms mooring systems etc instrumentationtesting physical model and numerical model wave dynamics sedimentation structuralstress analysis soil mechanics and material research China Ocean Engineering is a publication of Chinese Ocean Engineering Society Presents advances in research concepts experiments technology materials and structures as related to ocean engineering An acknowledged core source of information in its field A publication of Chinese Ocean Engineering Society
China Population and Development Studies;China Population and Development Studies Demography Health Promotion and Disease Prevention SocialHuman Development Studies Population Economics;As the flagship journal of China Population Association this journal provides an international platform for discussions on topics related to various population phenomena and development issues The journal hosted by China Population and Development Research Center features the international perspective on the field of population studies This journal publishes original research papers including empirical studies theoretical and methodological analysis policy reviews and survey reports in population and development related fields Interdisciplinary perspectives are also encouraged to help improving understandings of demographic dynamics as well as refining research methods This journal follows a doubleblind peer review procedure Relevant topic areas include but are not limited to Demography and population studies Population policy and planning Population and health International and internal migration Ageing and population dynamics Fertility fertility preference sex ratio at birth Population Economics Comparative population studies Modeling and projection Social science methods and methodology Population Sociology
ChinaEU Law Journal;ChinaEU Law Journal Public International Law Private International Law International Foreign Law Comparative Law European Integration;The ChinaEU Law Journal CELJ is a peerreviewed publication that brings together Chinese European and international perspectives on law The range of coverage extends to Chinese law European legal developments of significance to China legal aspects of ChinaEuropean Union relations and perspectives on China and Europe in a globalizing world CELJ presents comparative and interdisciplinary research including studies on Chinese law from a European perspective and examinations of European law from a Chinese perspective In addition to articles presenting research findings CELJ publishes reports and book reviews Presents innovative studies on Chinese law from a European perspective Covers Chinese law European legal developments affecting China and ChineseEU relations Offers multifaceted legal perspective on China and Europe in a globalizing world
Chinese Annals of Mathematics Series B;Chinese Annals of Mathematics Series B Mathematics general Applications of Mathematics;An international journal covering both pure and applied mathematics Publishes novel and significant research findings from around the world Serves as a platform for academic exchange advancing new scientific findings in mathematics Dedicated editorial board includes many prestigious mathematicians
Chinese Geographical Science;Chinese Geographical Science Geography general;Chinese Geographical Science is an international journal that has been published in China since 1991 It covers all fields of geography and publishes original research papers review articles research reports and academic activities The journal helps readers keep up to date with the latest worldwide geographical research achievements and reports on new development and changes related to geography in the course of Chinas economic development It also makes available Chinese geographical information for the study of global issues and regional comparisons Published since 1991 Presents original research papers review articles research reports and academic activities Reports on geographyrelated aspects in Chinas economic development Makes available Chinese geographical information
Chinese Journal of Academic Radiology;Chinese Journal of Academic Radiology Imaging Radiology;Chinese Journal of Academic Radiology provides a communication forum for all international scholars and radiologists in the area of clinical practice and translational research on imaging techniques including radiology imagefused nuclear medicine and ultrasound A comprehensive resource it covers the latest findings and developments in the field of diagnostic imaging and imageguided interventional techniques Contents of this peerreviewed journal include original articles review including pictorial review editorials short communications technical note and letters to the editor Offers a communication forum on the latest findings and developments An international Editorial Board consists of radiologists and experts The first Englishlanguage journal to address the general radiology field in China
Chinese Journal of Cancer Research;Chinese Journal of Cancer Research MedicinePublic Health general;
Chinese Journal of Integrative Medicine;Chinese Journal of Integrative Medicine MedicinePublic Health general;Chinese Journal of Integrative Medicine originally entitled Chinese Journal of Integrated Traditional and Western Medicine English Edition was founded in 1995 and changed formally its name in 2003 This journal is supervised by State Administration of Traditional Chinese Medicine sponsored by Chinese Association of Integrative Medicine and China Academy of Chinese Medical Sciences It is the first international peerreviewed monthly journal on integrative medicine included in Science Citation Index Expanded SCIE A comprehensive English language journal covering integrative Chinese and Western medicine Founded in 1995 and managed by the State Administration of Traditional Chinese Medicine Reports on scientific developments experiences and achievements in clinical practice scientific research education and healthcare
Chinese Journal of Mechanical Engineering;Chinese Journal of Mechanical Engineering Mechanical Engineering Theoretical and Applied Mechanics Manufacturing Machines Tools Processes Engineering Thermodynamics Heat and Mass Transfer Power Electronics Electrical Machines and Networks Electronics and Microelectronics Instrumentation;
Chinese Journal of Polymer Science;Chinese Journal of Polymer Science Polymer Sciences Industrial ChemistryChemical Engineering Characterization and Evaluation of Materials Condensed Matter Physics;One of the leading Englishlanguage polymer journals in China Chinese Journal of Polymer Science CJPS is edited by a distinguished Editorial Board headed by Professor QiFeng Zhou and supported by an International Advisory Board of accomplished polymer scientists from all over the world CJPS is a monthly peerreviewed journal dedicated to the timely publication of original research ideas and results in polymer science The contents include invited reviews feature articles rapid communications and regular articles CJPS reflects the most recent achievements obtained in various laboratories in China and also includes papers submitted by scientists from the international community Chinese Journal of Polymer Science was first published in 1983 under the title Polymer Communications and has been known by its current name since 1985 It is sponsored by the Chinese Chemical Society and the Institute of Chemistry of the Chinese Academy of Sciences Since 1983 a leading journal in the field of polymer science Covers international results in the field Sponsored by the Chinese Chemical Society and the Institute of Chemistry of the Chinese Academy of Sciences
Chinese Medicine;Chinese Medicine Complementary Alternative Medicine Traditional Chinese Medicine Acupuncture;
Chinese Neurosurgical Journal;Chinese Neurosurgical Journal Neurosurgery Neurology Head and Neck Surgery Surgery;
Chinese Political Science Review;Chinese Political Science Review Political Science;This journal aims to publish original and cuttingedge research in all areas of political science such as political theory comparative politics international relations public administration public policy methodology and Chinese politics and government In the meantime it also provides a major and visible platform for the intellectual dialogue between Chinese and international scholars and disseminate scholarship that can shed light on the ever changing field of Chinese political studies stimulate reflective discourse as the field continues to develop both within and outside China All research articles published in this journal have undergone rigorous peer review In additional original research articles Chinese Political Science Review also publishes book reviews to disseminate comprehensive reviews of emerging topics in all areas of political science Disseminates scholarship that can shed light on the ever changing field of Chinese political studies Stimulates reflective discourse as the field continues to develop both within and outside China Provides a major and visible platform for the intellectual dialogue between Chinese and international scholars Reflects the contributions of Chinese scholars and international scholars to the intellectual development of the field
Chinesische Medizin Chinese Medicine;Chinesische Medizin Chinese Medicine Complementary Alternative Medicine Acupuncture;Die Zeitschrift Chinesische Medizin ist die erste deutschsprachige Zeitschrift die sich nicht nur mit Akupunktur befasst sondern auch mit den anderen Bereichen der chinesischen Medizin wie Arzneimitteltherapie Ditetik chinesische Bewegungstherapien Taiji und Qigong und chinesische manuelle Therapie Tuina Neben eigenen Beitrgen finden sich hier ausgesuchte Artikel aus den wichtigsten chinesischen Fachzeitschriften die direkt aus dem Chinesischen ins Deutsche bersetzt werden In einer gesonderten Rubrik werden die wichtigsten aktuellen internationalen Publikationen zusammengefasst
Chiropractic Manual Therapies;Chiropractic Manual Therapies Chiropractic Medicine Rehabilitation;
Chromatographia;Chromatographia Chromatography Proteomics Pharmacy Laboratory Medicine Analytical Chemistry;CHROMATOGRAPHIA highlights new and fundamental developments in separation technologies and approaches sorbent materials mobile phases sample preparation methods and detection techniques which improve the sensitivity selectivity efficiency and speed of separations These can include hyphenated systems that integrate several unit operations within the analytical workflow Revised Aims Scope Offers a comprehensive view of novel approaches in separation science in all their various forms Coverage includes liquid chromatography HPLC and UPLC gas chromatography supercritical fluid chromatography fieldflow fractionation electrophoresis and electrochromatography and detection techniques such as mass spectrometry and spectroscopic methods multidimensional chromatography and preparative and processscale chromatography as well as sample preparation Attractive author benefits 98 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
